Identificação;Data de apresentação;Emenda;Autor;Partido
EMENDA 81 PLEN - PL 2630/2020;18/06/2020;EMENDA 81;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 82 PLEN - PL 2630/2020;18/06/2020;EMENDA 82;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 83 PLEN - PL 2630/2020;18/06/2020;EMENDA 83;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 84 PLEN - PL 2630/2020;19/06/2020;EMENDA 84;Senadora Rose de Freitas (PODEMOS/ES);PODEMOS
EMENDA 85 PLEN - PL 2630/2020;22/06/2020;EMENDA 85;Senador Rodrigo Cunha (PSDB/AL);PSDB
EMENDA 86 PLEN - PL 2630/2020;24/06/2020;EMENDA 86;Senador Paulo Paim (PT/RS);PT
EMENDA 87 PLEN - PL 2630/2020;24/06/2020;EMENDA 87;Senador Fernando Collor (PROS/AL);PROS
EMENDA 88 PLEN - PL 2630/2020;24/06/2020;EMENDA 88;Senador Fernando Collor (PROS/AL);PROS
EMENDA 89 PLEN - PL 2630/2020;25/06/2020;EMENDA 89;Senador Wellington Fagundes (PL/MT);PL
EMENDA 90 PLEN - PL 2630/2020;25/06/2020;EMENDA 90;Senador Weverton (PDT/MA);PDT
EMENDA 91 PLEN - PL 2630/2020;25/06/2020;EMENDA 91;Senador Weverton (PDT/MA);PDT
EMENDA 92 PLEN - PL 2630/2020;25/06/2020;EMENDA 92;Senador Esperidião Amin (PP/SC);PP
EMENDA 93 PLEN - PL 2630/2020;25/06/2020;EMENDA 93;Senador Luiz do Carmo (MDB/GO);MDB
EMENDA 94 PLEN - PL 2630/2020;25/06/2020;EMENDA 94;Senador Luiz do Carmo (MDB/GO);MDB
EMENDA 95 PLEN - PL 2630/2020;25/06/2020;EMENDA 95;Senador Luiz do Carmo (MDB/GO);MDB
EMENDA 96 PLEN - PL 2630/2020;25/06/2020;EMENDA 96;Senador Marcos do Val (PODEMOS/ES);PODEMOS
EMENDA 97 PLEN - PL 2630/2020;25/06/2020;EMENDA 97;Senador Marcos do Val (PODEMOS/ES);PODEMOS
EMENDA 98 PLEN - PL 2630/2020;25/06/2020;EMENDA 98;Senadora Zenaide Maia (PROS/RN);PROS
EMENDA 99 PLEN - PL 2630/2020;25/06/2020;EMENDA 99;Senadora Zenaide Maia (PROS/RN);PROS
EMENDA 100 PLEN - PL 2630/2020;25/06/2020;EMENDA 100;Senadora Eliziane Gama (CIDADANIA/MA);CIDADANIA
EMENDA 101 PLEN - PL 2630/2020;25/06/2020;EMENDA 101;Senadora Eliziane Gama (CIDADANIA/MA);CIDADANIA
EMENDA 102 PLEN - PL 2630/2020;25/06/2020;EMENDA 102;Senadora Eliziane Gama (CIDADANIA/MA);CIDADANIA
EMENDA 103 PLEN - PL 2630/2020;25/06/2020;EMENDA 103;Senador Marcos do Val (PODEMOS/ES);PODEMOS
